ID,OBJECTID_1,Label,Row,PointLabel,x,y,RowNUM,one,Plbsac,type,LBC.1,LBCeq,pH.2,Ca,K,Mg,Mn,P,Zn,geometry
240536,69,69,F,69F,-83.72857288,32.43385659,0,1,23,SPID,153,373,5.99,360,29.9,45.5,15.47,11.33,2.11,"c(243451.1925, 3591804.8734, 0)"
240537,69,69,F,69F,-83.72857288,32.43385659,0,1,23,CID,169,432,6.04,279,31.3,32.1,10.55,15.83,1.43,"c(243451.1925, 3591804.8734, 0)"
240538,70,70,F,70F,-83.72761617,32.43385326,0,1,12,SPID,171,439,6.16,275,36,58,10.62,6.21,1.16,"c(243541.1651, 3591802.2044, 0)"
240539,70,70,F,70F,-83.72761617,32.43385326,0,1,12,CID,157,388,6.06,289,39.1,54.2,11.36,4.45,1.08,"c(243541.1651, 3591802.2044, 0)"
240540,71,71,F,71F,-83.72665946,32.43384992,0,1,16,SPID,218,612,5.09,267,115.1,88.2,13.82,8.17,1.45,"c(243631.1376, 3591799.5353, 0)"
240541,71,71,F,71F,-83.72665946,32.43384992,0,1,16,CID,181,476,5.38,204,72.7,47.9,8.19,4.29,0.53,"c(243631.1376, 3591799.5353, 0)"
240542,72,72,F,72F,-83.72570275,32.43384657,0,1,36,SPID,186,495,5.48,349,43.6,33.4,14.19,17.88,2.63,"c(243721.11, 3591796.8663, 0)"
240543,72,72,F,72F,-83.72570275,32.43384657,0,1,36,CID,174,450,5.56,294,43.1,32,12.54,17.16,2.25,"c(243721.11, 3591796.8663, 0)"
240544,73,73,F,73F,-83.72474604,32.43384322,0,1,8,SPID,199,542,5.59,262,78.5,54.9,13.28,4.22,0.47,"c(243811.0824, 3591794.1973, 0)"
240545,73,73,F,73F,-83.72474604,32.43384322,0,1,8,CID,101,183,5.29,214,56.5,34.8,11.61,3.2,0.56,"c(243811.0824, 3591794.1973, 0)"
240546,74,74,F,74F,-83.72378933,32.43383986,0,1,35,SPID,217,608,5.24,251,56,26.2,23.11,17.42,2.32,"c(243901.0547, 3591791.5283, 0)"
240547,74,74,F,74F,-83.72378933,32.43383986,0,1,35,CID,207,572,5.22,253,43.3,22.4,19.41,23.39,2.33,"c(243901.0547, 3591791.5283, 0)"
240548,75,75,F,75F,-83.72283262,32.43383649,0,1,10,SPID,112,223,5.48,131,10.8,14,7.03,5.1,1.01,"c(243991.0269, 3591788.8593, 0)"
240549,75,75,F,75F,-83.72283262,32.43383649,0,1,10,CID,121,256,5.91,190,17.7,29.8,6.48,6.92,1.06,"c(243991.0269, 3591788.8593, 0)"
240550,76,76,G,76G,-83.73623043,32.43307162,0,1,22,SPID,200,546,5.97,405,36.9,28.9,20.6,11.1,1.43,"c(242728.741, 3591736.2525, 0)"
240551,76,76,G,76G,-83.73623043,32.43307162,0,1,22,CID,184,487,6.09,409,46.9,46.9,21.37,14.26,1.43,"c(242728.741, 3591736.2525, 0)"
240552,77,77,G,77G,-83.73527373,32.43306835,0,1,22,SPID,207,572,6.1,407,60.4,45.2,23.69,11.03,2.03,"c(242818.714, 3591733.5836, 0)"
240553,77,77,G,77G,-83.73527373,32.43306835,0,1,22,CID,105,197,5.92,432,40.2,80.9,12.82,8.07,1.2,"c(242818.714, 3591733.5836, 0)"
240554,78,78,G,78G,-83.73431702,32.43306507,0,1,17,SPID,207,572,6.28,407,57.4,43.9,20.5,8.61,0.4,"c(242908.687, 3591730.9146, 0)"
240555,78,78,G,78G,-83.73431702,32.43306507,0,1,17,CID,216,605,6.06,327,81.3,77.4,16.11,4.92,0.38,"c(242908.687, 3591730.9146, 0)"
240556,79,79,G,79G,-83.73336032,32.43306178,0,1,15,SPID,167,425,5.62,292,29.8,38.4,18.72,7.45,2.89,"c(242998.6599, 3591728.2456, 0)"
240557,79,79,G,79G,-83.73336032,32.43306178,0,1,15,CID,161,403,5.69,317,27.9,41.7,11.03,6.31,1.46,"c(242998.6599, 3591728.2456, 0)"
240558,80,80,G,80G,-83.73240362,32.43305849,0,1,21,SPID,156,384,5.78,302,29.6,34.5,16.39,10.33,2.21,"c(243088.6327, 3591725.5766, 0)"
240559,80,80,G,80G,-83.73240362,32.43305849,0,1,21,CID,143,337,6.04,267,36.9,37.5,14.5,9.89,2.18,"c(243088.6327, 3591725.5766, 0)"
240560,81,81,G,81G,-83.73144691,32.43305519,0,1,8,SPID,148,355,6.55,325,32.4,61.8,10.63,3.9,1.01,"c(243178.6055, 3591722.9077, 0)"
240561,81,81,G,81G,-83.73144691,32.43305519,0,1,8,CID,95,160,6.54,297,32.9,49.2,7.08,3.04,0.77,"c(243178.6055, 3591722.9077, 0)"
240562,82,82,G,82G,-83.73049021,32.43305188,0,1,35,SPID,134,304,6.29,232,44.8,43.2,11.82,17.29,1.24,"c(243268.5783, 3591720.2387, 0)"
240563,82,82,G,82G,-83.73049021,32.43305188,0,1,35,CID,137,315,6.22,183,19.6,29.7,9.27,14.09,0.95,"c(243268.5783, 3591720.2387, 0)"
240564,83,83,G,83G,-83.72953351,32.43304856,0,1,31,SPID,139,322,6.56,320,27.6,40.5,11.42,15.35,1.49,"c(243358.5509, 3591717.5697, 0)"
240565,83,83,G,83G,-83.72953351,32.43304856,0,1,31,CID,141,329,6.55,368,32.6,54.5,8.81,15.72,1.62,"c(243358.5509, 3591717.5697, 0)"
240566,84,84,G,84G,-83.7285768,32.43304524,0,1,23,SPID,133,300,6.27,250,25,43.5,11.07,11.32,2.08,"c(243448.5235, 3591714.9008, 0)"
240567,84,84,G,84G,-83.7285768,32.43304524,0,1,23,CID,125,271,6.2,222,19.1,29.1,9.88,11.5,1.35,"c(243448.5235, 3591714.9008, 0)"
240568,85,85,G,85G,-83.7276201,32.43304191,0,1,35,SPID,240,693,5.93,525,245,52.5,26.36,17.6,3.35,"c(243538.4961, 3591712.2318, 0)"
240569,85,85,G,85G,-83.7276201,32.43304191,0,1,35,CID,126,274,6.1,429,49.3,51.7,12.09,13.81,1.6,"c(243538.4961, 3591712.2318, 0)"
240570,86,86,G,86G,-83.7266634,32.43303857,0,1,20,SPID,180,473,5.59,324,25.2,36.2,15.58,9.79,2.74,"c(243628.4686, 3591709.5629, 0)"
240571,86,86,G,86G,-83.7266634,32.43303857,0,1,20,CID,158,392,5.96,266,27.6,36.1,11.94,13.32,6.07,"c(243628.4686, 3591709.5629, 0)"
240572,87,87,G,87G,-83.7257067,32.43303522,0,1,7,SPID,150,362,5.64,178,57.5,23.6,10.07,3.3,0.76,"c(243718.441, 3591706.8939, 0)"
240573,87,87,G,87G,-83.7257067,32.43303522,0,1,7,CID,127,278,5.9,282,53.2,39.6,9.14,4.15,1.08,"c(243718.441, 3591706.8939, 0)"
240574,88,88,G,88G,-83.72475,32.43303187,0,1,10,SPID,169,432,6.14,338,53.7,46.1,12.95,4.94,2.03,"c(243808.4134, 3591704.225, 0)"
240575,88,88,G,88G,-83.72475,32.43303187,0,1,10,CID,160,399,5.93,270,58.1,43,12.77,6.52,2.47,"c(243808.4134, 3591704.225, 0)"
240576,89,89,G,89G,-83.72379329,32.43302851,0,1,22,SPID,195,528,5.79,354,42.4,63.1,18.6,10.87,2.13,"c(243898.3857, 3591701.556, 0)"
240577,89,89,G,89G,-83.72379329,32.43302851,0,1,22,CID,83,116,5.99,337,40.1,58.6,12.61,8.12,1.66,"c(243898.3857, 3591701.556, 0)"
240578,90,90,G,90G,-83.72283659,32.43302514,0,1,38,SPID,134,304,6.55,396,30.4,87.8,8.45,18.89,1.56,"c(243988.358, 3591698.8871, 0)"
240579,90,90,G,90G,-83.72283659,32.43302514,0,1,38,CID,159,395,6.42,372,49.9,50.8,10.57,20.4,1.46,"c(243988.358, 3591698.8871, 0)"
240580,91,91,G,91G,-83.72187989,32.43302177,0,1,23,SPID,146,348,6.2,294,114.8,36,9.86,11.72,2.37,"c(244078.3302, 3591696.2182, 0)"
240581,91,91,G,91G,-83.72187989,32.43302177,0,1,23,CID,132,296,6.09,344,41.6,44.2,7.13,10.11,1.14,"c(244078.3302, 3591696.2182, 0)"
240595,136,92,G,92G,-83.730062,32.432788,45,1,91,SPID,375,1088,5.56,644,126.7,57.6,38.23,45.54,4.6,"c(243306.2079, 3591684.6158, 0)"
240596,136,92,G,92G,-83.730062,32.432788,45,1,91,CID,338,980,5.53,541,87.5,58.8,35.16,40.16,3.28,"c(243306.2079, 3591684.6158, 0)"
240597,92,93,H,93H,-83.73623428,32.43226027,1,1,111,SPID,295,856,6.12,592,139.3,82.6,31.51,55.32,2.51,"c(242726.072, 3591646.2795, 0)"
240598,92,93,H,93H,-83.73623428,32.43226027,1,1,111,CID,246,715,6.14,494,87.8,70.9,25.46,38.77,2.22,"c(242726.072, 3591646.2795, 0)"
240599,93,94,H,94H,-83.73527759,32.432257,2,1,26,SPID,203,557,5.9,486,56.2,54.9,18.66,13.1,2.53,"c(242816.0451, 3591643.6106, 0)"
240600,93,94,H,94H,-83.73527759,32.432257,2,1,26,CID,163,410,6.01,268,60.1,37.8,16.9,12.12,1.24,"c(242816.0451, 3591643.6106, 0)"
240601,94,95,H,95H,-83.73432089,32.43225372,3,1,31,SPID,189,506,5.78,360,54.1,47.5,20.1,15.44,5.3,"c(242906.018, 3591640.9416, 0)"
240602,94,95,H,95H,-83.73432089,32.43225372,3,1,31,CID,180,473,5.66,321,50.9,37.5,19.21,18.28,2.37,"c(242906.018, 3591640.9416, 0)"
240603,95,96,H,96H,-83.7333642,32.43225043,4,1,17,SPID,184,487,5.52,238,43,32.8,19.28,8.26,1.53,"c(242995.9909, 3591638.2727, 0)"
240604,95,96,H,96H,-83.7333642,32.43225043,4,1,17,CID,188,502,5.52,239,49.5,30.6,19.69,9.69,1.56,"c(242995.9909, 3591638.2727, 0)"
240605,96,97,H,97H,-83.73240751,32.43224713,5,1,31,SPID,196,531,6.41,327,149.2,44,20.6,15.66,2.25,"c(243085.9638, 3591635.6038, 0)"
240606,96,97,H,97H,-83.73240751,32.43224713,5,1,31,CID,155,381,5.98,183,45.3,23.9,11.9,9.34,1.27,"c(243085.9638, 3591635.6038, 0)"
240607,97,98,H,98H,-83.73145081,32.43224383,6,1,31,SPID,191,513,6.41,402,93.7,46.4,21.71,15.29,2.05,"c(243175.9366, 3591632.9349, 0)"
240608,97,98,H,98H,-83.73145081,32.43224383,6,1,31,CID,170,436,6.33,401,49.9,57.3,18.69,15.51,1.5,"c(243175.9366, 3591632.9349, 0)"
240609,98,99,H,99H,-83.73049412,32.43224052,7,1,47,SPID,230,656,6.54,625,70.9,112,25.24,23.46,2.33,"c(243265.9093, 3591630.266, 0)"
240610,98,99,H,99H,-83.73049412,32.43224052,7,1,47,CID,181,476,6.43,395,54.4,54.9,16.53,22.61,1.77,"c(243265.9093, 3591630.266, 0)"
240611,99,100,H,100H,-83.72953742,32.43223721,8,1,32,SPID,171,439,7.14,551,86,94.9,21.98,16.2,3.02,"c(243355.882, 3591627.5971, 0)"
240612,99,100,H,100H,-83.72953742,32.43223721,8,1,32,CID,192,517,6.69,525,82.6,86.6,25.09,19.74,2.79,"c(243355.882, 3591627.5971, 0)"
240613,100,101,H,101H,-83.72858073,32.43223388,9,1,70,SPID,225,638,6.47,551,88.4,89.4,22.21,35.1,2.78,"c(243445.8546, 3591624.9282, 0)"
240614,100,101,H,101H,-83.72858073,32.43223388,9,1,70,CID,213,594,6.25,339,58.1,54.1,13.65,22.29,1.83,"c(243445.8546, 3591624.9282, 0)"
240615,101,102,H,102H,-83.72762403,32.43223055,10,1,39,SPID,161,403,6.36,285,58.6,56.1,12.61,19.63,1.39,"c(243535.8272, 3591622.2593, 0)"
240616,101,102,H,102H,-83.72762403,32.43223055,10,1,39,CID,176,458,6.21,370,61.7,84,13.73,20.73,1.39,"c(243535.8272, 3591622.2593, 0)"
240617,102,103,H,103H,-83.72666734,32.43222722,11,1,25,SPID,139,322,6.42,206,65,28.7,10.24,12.59,3.29,"c(243625.7997, 3591619.5904, 0)"
240618,102,103,H,103H,-83.72666734,32.43222722,11,1,25,CID,103,190,6.17,158,40.8,23.4,8.36,10.75,0.89,"c(243625.7997, 3591619.5904, 0)"
240619,103,104,H,104H,-83.72571065,32.43222387,12,1,18,SPID,175,454,6.56,416,72.4,54.4,18.43,9.13,2,"c(243715.7721, 3591616.9215, 0)"
240620,103,104,H,104H,-83.72571065,32.43222387,12,1,18,CID,180,473,6.39,431,72.5,56.2,18.93,11.12,2.06,"c(243715.7721, 3591616.9215, 0)"
240621,104,105,H,105H,-83.72475395,32.43222052,13,1,20,SPID,162,406,6.63,359,73,57.2,16.38,10.13,1.4,"c(243805.7445, 3591614.2526, 0)"
240622,104,105,H,105H,-83.72475395,32.43222052,13,1,20,CID,195,528,6.63,369,71,46.5,14.15,8.12,1.43,"c(243805.7445, 3591614.2526, 0)"
240623,105,106,H,106H,-83.72379726,32.43221716,14,1,26,SPID,169,432,6.36,291,114.7,39.8,13.74,13.01,2.54,"c(243895.7168, 3591611.5838, 0)"
240624,105,106,H,106H,-83.72379726,32.43221716,14,1,26,CID,145,344,6.14,317,81.1,46.3,15.24,13.4,3.1,"c(243895.7168, 3591611.5838, 0)"
240625,106,107,H,107H,-83.72284057,32.43221379,15,1,46,SPID,203,557,6.75,669,152.8,88.1,21.24,22.75,3.94,"c(243985.6891, 3591608.9149, 0)"
240626,106,107,H,107H,-83.72284057,32.43221379,15,1,46,CID,113,227,6.46,294,59.9,35.9,10.95,11.16,1.4,"c(243985.6891, 3591608.9149, 0)"
240627,107,108,H,108H,-83.72188387,32.43221042,16,1,44,SPID,190,509,6.82,544,128.5,106.6,21.19,21.91,2.1,"c(244075.6613, 3591606.246, 0)"
240628,107,108,H,108H,-83.72188387,32.43221042,16,1,44,CID,217,608,6.54,446,95.4,85.5,18.48,19.11,1.46,"c(244075.6613, 3591606.246, 0)"
240629,108,109,I,109I,-83.73623814,32.43144892,17,1,78,SPID,232,663,6.22,576,118.9,80.8,25.81,39.13,3.71,"c(242723.4031, 3591556.3064, 0)"
240630,108,109,I,109I,-83.73623814,32.43144892,17,1,78,CID,229,652,6.35,438,77.7,52.2,19.69,29.65,2.61,"c(242723.4031, 3591556.3064, 0)"
240631,109,110,I,110I,-83.73528145,32.43144564,18,1,43,SPID,173,447,6.61,381,124.7,47.7,20.19,21.68,1.7,"c(242813.3762, 3591553.6376, 0)"
240632,109,110,I,110I,-83.73528145,32.43144564,18,1,43,CID,173,447,6.11,372,92.1,53.4,21.95,18.54,1.96,"c(242813.3762, 3591553.6376, 0)"
240633,110,111,I,111I,-83.73432477,32.43144236,19,1,26,SPID,182,480,6.26,327,76.1,52.3,18.55,12.75,1.87,"c(242903.3492, 3591550.9687, 0)"
240634,110,111,I,111I,-83.73432477,32.43144236,19,1,26,CID,92,149,5.9,208,42.5,27,13.47,11.66,1,"c(242903.3492, 3591550.9687, 0)"
240635,111,112,I,112I,-83.73336808,32.43143908,20,1,50,SPID,169,432,5.64,293,69.6,31.4,18.63,24.79,2.25,"c(242993.3221, 3591548.2998, 0)"
240636,111,112,I,112I,-83.73336808,32.43143908,20,1,50,CID,194,524,5.66,270,61.1,32.2,21.77,15.88,1.78,"c(242993.3221, 3591548.2998, 0)"
240637,112,113,I,113I,-83.73241139,32.43143578,21,1,37,SPID,189,506,6.83,434,141.6,73.9,18.77,18.66,6.29,"c(243083.2949, 3591545.631, 0)"
240638,112,113,I,113I,-83.73241139,32.43143578,21,1,37,CID,169,432,6.44,260,44.6,41.3,12.43,11.69,1.07,"c(243083.2949, 3591545.631, 0)"
240639,113,114,I,114I,-83.73145471,32.43143248,22,1,41,SPID,156,384,6.13,301,51.4,55,14.76,20.64,9.98,"c(243173.2677, 3591542.9621, 0)"
240640,113,114,I,114I,-83.73145471,32.43143248,22,1,41,CID,172,443,6.28,359,48.1,56.2,15.92,18.47,7.05,"c(243173.2677, 3591542.9621, 0)"
240641,114,115,I,115I,-83.73049802,32.43142917,23,1,71,SPID,237,682,6.26,697,78.3,105.5,25.53,35.74,3.98,"c(243263.2405, 3591540.2933, 0)"
240642,114,115,I,115I,-83.73049802,32.43142917,23,1,71,CID,166,421,6.08,358,42.4,47.7,16.02,26.33,2.02,"c(243263.2405, 3591540.2933, 0)"
240643,115,116,I,116I,-83.72954134,32.43142586,24,1,38,SPID,133,300,7.13,609,105.1,114.9,24.97,19.06,3.34,"c(243353.2131, 3591537.6245, 0)"
240644,115,116,I,116I,-83.72954134,32.43142586,24,1,38,CID,142,333,6.86,516,68.7,85.5,22.41,18,2.43,"c(243353.2131, 3591537.6245, 0)"
240645,116,117,I,117I,-83.72858465,32.43142253,25,1,34,SPID,198,539,6.97,530,79.9,82.6,21.21,17.16,2.44,"c(243443.1858, 3591534.9556, 0)"
240646,116,117,I,117I,-83.72858465,32.43142253,25,1,34,CID,190,509,6.91,358,38.2,54,12.72,13.23,1.67,"c(243443.1858, 3591534.9556, 0)"
240647,117,118,I,118I,-83.72762797,32.4314192,26,1,68,SPID,194,524,7.28,620,74.1,144.6,17.82,33.91,2.15,"c(243533.1583, 3591532.2868, 0)"
240648,117,118,I,118I,-83.72762797,32.4314192,26,1,68,CID,202,553,6.75,544,64.2,89.5,18.86,32.35,2.29,"c(243533.1583, 3591532.2868, 0)"
240649,118,119,I,119I,-83.72667128,32.43141586,27,1,33,SPID,166,421,6.54,310,87,43.8,16.68,16.53,1.79,"c(243623.1308, 3591529.6179, 0)"
240650,118,119,I,119I,-83.72667128,32.43141586,27,1,33,CID,104,194,6.35,226,52.7,36.5,11.38,14.86,1.13,"c(243623.1308, 3591529.6179, 0)"
240651,119,120,I,120I,-83.7257146,32.43141252,28,1,24,SPID,131,293,6.37,281,29.9,42.7,9.89,12.1,1.84,"c(243713.1033, 3591526.9491, 0)"
240652,119,120,I,120I,-83.7257146,32.43141252,28,1,24,CID,155,381,6.56,250,55,39.6,10.34,15.87,1.33,"c(243713.1033, 3591526.9491, 0)"
240653,120,121,I,121I,-83.72475791,32.43140917,29,1,33,SPID,164,414,6,304,75.4,41.7,12.11,16.62,1.97,"c(243803.0756, 3591524.2803, 0)"
240654,120,121,I,121I,-83.72475791,32.43140917,29,1,33,CID,149,359,6.56,279,36.5,36.6,8.91,13.17,1.45,"c(243803.0756, 3591524.2803, 0)"
240655,121,122,I,122I,-83.72380123,32.43140581,30,1,56,SPID,205,564,6.01,463,97.5,95.3,17.89,27.78,3.79,"c(243893.048, 3591521.6115, 0)"
240656,121,122,I,122I,-83.72380123,32.43140581,30,1,56,CID,208,575,5.95,341,66,47.6,17.05,24.29,2.65,"c(243893.048, 3591521.6115, 0)"
240657,122,123,I,123I,-83.72284454,32.43140244,31,1,72,SPID,215,601,6.47,564,152.6,66.4,22.15,36.03,3.99,"c(243983.0202, 3591518.9427, 0)"
240658,122,123,I,123I,-83.72284454,32.43140244,31,1,72,CID,171,439,6.46,363,55.4,45.8,14.05,25,1.78,"c(243983.0202, 3591518.9427, 0)"
240659,123,136,J,136J,-83.72475966,32.43059998,32,1,58,SPID,243,704,5.83,506,135.6,59.5,29.33,29.1,3.24,"c(243800.6207, 3591434.5422, 0)"
240660,123,136,J,136J,-83.72475966,32.43059998,32,1,58,CID,236,678,5.68,458,87.9,52.1,26.43,34.62,2.92,"c(243800.6207, 3591434.5422, 0)"
240661,124,125,J,125J,-83.73528532,32.43063429,33,1,63,SPID,177,461,6.86,607,117.3,110.3,23.83,31.63,2.13,"c(242810.7073, 3591463.6646, 0)"
240662,124,125,J,125J,-83.73528532,32.43063429,33,1,63,CID,184,487,6.92,433,68.4,64.8,15.53,30.5,2,"c(242810.7073, 3591463.6646, 0)"
240663,125,126,J,126J,-83.73432864,32.43063101,34,1,45,SPID,203,557,5.65,359,71.3,45.2,19.32,22.6,3.68,"c(242900.6803, 3591460.9958, 0)"
240664,125,126,J,126J,-83.73432864,32.43063101,34,1,45,CID,155,381,5.9,307,49.6,38,17.49,23.2,3.84,"c(242900.6803, 3591460.9958, 0)"
240665,126,127,J,127J,-83.73337196,32.43062772,35,1,70,SPID,277,803,5.55,409,84.3,36.2,25.72,34.87,3.57,"c(242990.6532, 3591458.327, 0)"
240666,126,127,J,127J,-83.73337196,32.43062772,35,1,70,CID,229,652,5.69,314,50.9,24.8,19.8,33.61,2.32,"c(242990.6532, 3591458.327, 0)"
240667,127,128,J,128J,-83.73241528,32.43062443,36,1,33,SPID,204,561,5.68,324,58.4,34.8,22.25,16.34,2.09,"c(243080.6261, 3591455.6582, 0)"
240668,127,128,J,128J,-83.73241528,32.43062443,36,1,33,CID,195,528,5.73,282,68.6,31.3,19.57,19.1,1.42,"c(243080.6261, 3591455.6582, 0)"
240669,128,129,J,129J,-83.73145861,32.43062113,37,1,37,SPID,182,480,5.96,317,62.8,27.6,17.79,18.4,1.72,"c(243170.5989, 3591452.9894, 0)"
240670,128,129,J,129J,-83.73145861,32.43062113,37,1,37,CID,167,425,6.68,366,44,46.1,14.59,19.46,1.56,"c(243170.5989, 3591452.9894, 0)"
240671,129,130,J,130J,-83.73050193,32.43061782,38,1,49,SPID,211,586,6.82,533,95.9,64.1,16.74,24.73,2.12,"c(243260.5716, 3591450.3206, 0)"
240672,129,130,J,130J,-83.73050193,32.43061782,38,1,49,CID,195,528,6.45,784,105.1,71.6,17.92,162.52,2.58,"c(243260.5716, 3591450.3206, 0)"
240673,130,131,J,131J,-83.72954525,32.4306145,39,1,37,SPID,197,535,6.8,473,81.4,71.7,14.96,18.45,3.15,"c(243350.5443, 3591447.6518, 0)"
240674,130,131,J,131J,-83.72954525,32.4306145,39,1,37,CID,169,432,6.83,416,46.6,62.8,11.41,16.05,1.72,"c(243350.5443, 3591447.6518, 0)"
240675,131,132,J,132J,-83.72858857,32.43061118,40,1,51,SPID,171,439,7.02,617,163.5,65.7,20.15,25.26,3.1,"c(243440.5169, 3591444.983, 0)"
240676,131,132,J,132J,-83.72858857,32.43061118,40,1,51,CID,196,531,6.91,569,76.7,95,16.97,18.13,2.03,"c(243440.5169, 3591444.983, 0)"
240677,132,133,J,133J,-83.7276319,32.43060785,41,1,61,SPID,193,520,7.02,764,84.5,95.9,19.08,30.59,3.28,"c(243530.4895, 3591442.3142, 0)"
240678,132,133,J,133J,-83.7276319,32.43060785,41,1,61,CID,166,421,7.14,357,40.4,48.4,9.89,17.47,1.84,"c(243530.4895, 3591442.3142, 0)"
240679,133,134,J,134J,-83.72667522,32.43060451,42,1,38,SPID,149,359,6.78,310,33,50.1,13.69,18.8,2.09,"c(243620.462, 3591439.6455, 0)"
240680,133,134,J,134J,-83.72667522,32.43060451,42,1,38,CID,154,377,6.61,354,51.3,58.4,16.39,17.95,2.2,"c(243620.462, 3591439.6455, 0)"
240681,134,135,J,135J,-83.72571854,32.43060117,43,1,49,SPID,199,542,6.91,500,132.4,52.6,15.63,24.44,3.19,"c(243710.4345, 3591436.9767, 0)"
240682,134,135,J,135J,-83.72571854,32.43060117,43,1,49,CID,184,487,6.61,356,64.6,39.1,11.46,17.56,2.13,"c(243710.4345, 3591436.9767, 0)"
240683,135,124,J,124J,-83.736247,32.430664,44,1,25,SPID,187,498,6.16,425,71.3,53.3,14.62,12.74,2.51,"c(242720.4933, 3591466.1006, 0)"
240684,135,124,J,124J,-83.736247,32.430664,44,1,25,CID,184,487,6.63,432,96.6,51.5,13.91,19.38,2.13,"c(242720.4933, 3591466.1006, 0)"
